epoch,accuracy,loss,val_accuracy,val_loss
0,0.6022857427597046,0.6765996813774109,0.5659999847412109,0.6873223185539246
1,0.602142870426178,0.6613073348999023,0.5659999847412109,0.6722221970558167
2,0.6095714569091797,0.632659375667572,0.5839999914169312,0.6383324265480042
3,0.7287142872810364,0.5580888986587524,0.6840000152587891,0.5855625867843628
4,0.8169999718666077,0.48289087414741516,0.7440000176429749,0.5468459725379944
5,0.8489999771118164,0.4199543595314026,0.7573333382606506,0.5207091569900513
6,0.8807142972946167,0.37144896388053894,0.7413333058357239,0.5354953408241272
7,0.894428551197052,0.3296566605567932,0.7406666874885559,0.5383048057556152
8,0.9084285497665405,0.30078044533729553,0.7559999823570251,0.5281640887260437
9,0.9167143106460571,0.27640578150749207,0.7553333044052124,0.5322040915489197
10,0.927142858505249,0.2538629174232483,0.7593333125114441,0.5412937998771667
11,0.9311428666114807,0.23808221518993378,0.7586666941642761,0.5457811951637268
12,0.9391428828239441,0.22474011778831482,0.7620000243186951,0.5692201256752014
13,0.9452857375144958,0.2067413330078125,0.7613333463668823,0.5644063353538513
14,0.9494285583496094,0.1908566951751709,0.7599999904632568,0.576664388179779
15,0.9545714259147644,0.1787056028842926,0.7613333463668823,0.5856550335884094
